city,county,district,grades,number_alt_schools,number_elementary_schools,number_high_schools,number_middle_schools,rank,rank_2016,rank_change,rank_score_2017,sd_rating
Latham,Albany,North Colonie Central School District,K-12,0,6,1,1,109th,103,6,0.845,4
Bayside,Queens,New York City Geographic District #26,"PK, KG-12",1,21,5,5,110th,93,17,0.845,4
Smithtown,Suffolk,Smithtown Central School District,K-12,0,8,2,3,111th,87,24,0.843,4
East Moriches,Suffolk,East Moriches Union Free School District,K-8,0,1,0,1,112th,135,23,0.842,4
Harrison,Westchester,Harrison Central School District,K-12,1,3,1,1,113th,127,14,0.84,4
Rockville Centre,Nassau,Rockville Centre Union Free School District,K-12,0,5,1,1,114th,90,24,0.84,4
Mamaroneck,Westchester,Mamaroneck Union Free School District,"PK, KG-12",0,4,1,1,115th,89,26,0.839,4
Massapequa,Nassau,Massapequa Union Free School District,K-12,1,6,1,1,116th,100,16,0.839,4
Shrub Oak,Westchester,Lakeland Central School District,"PK, KG-12",0,5,2,1,117th,98,19,0.839,4
Cooperstown,Otsego,Cooperstown Central School District,K-12,0,1,1,0,118th,108,10,0.839,4
Woodside,Queens,Academy Of The City Charter School,K-5,0,1,0,0,119th,268,149,0.838,4
Amherst,Erie,Amherst Central School District,"PK, KG-12",0,2,1,1,120th,115,5,0.838,4
Clinton,Oneida,Clinton Central School District,K-12,0,1,1,1,121st,70,51,0.836,4
Bronx,Bronx,Icahn Charter School 6,K-6,0,1,0,0,122nd,88,34,0.834,4
Lansing,Tompkins,Lansing Central School District,K-12,0,1,1,1,123rd,94,29,0.833,4
Victor,Ontario,Victor Central School District,"PK, KG-12",0,3,1,1,124th,95,29,0.832,4
Warwick,Orange,Warwick Valley Central School District,K-12,0,2,1,1,125th,160,35,0.831,4
Merrick,Nassau,North Merrick Union Free School District,K-6,0,3,0,0,126th,92,34,0.83,4
Cazenovia,Madison,Cazenovia Central School District,K-12,0,1,1,1,127th,68,59,0.829,4
