ownertype,borough,schooldist,zipcode,address,xcoord,ycoord,buildingclassatpresent,saleprice,saledate
 ,MN,2,10012,77 BLEECKER STREET,985376,204188,D0,725000,2018-04-05
 ,MN,2,10012,77 BLEECKER STREET,985376,204188,D0,0,2018-04-26
P,MN,2,10003,33 5 AVENUE,985558,206391,D4,1110625,2017-07-27
 ,MN,2,10011,18 WEST 14 STREET,985615,207408,D4,1360000,2017-06-27
 ,MN,2,10012,77 BLEECKER STREET,985376,204188,D0,794000,2018-04-16
 ,MN,2,10012,77 BLEECKER STREET,985376,204188,D0,1370000,2018-03-12
 ,MN,2,10003,20 UNIVERSITY PLACE,985636,205992,D4,1550000,2018-02-13
 ,MN,2,10012,77 BLEECKER STREET,985376,204188,D0,1250020,2017-06-06
 ,MN,2,10012,77 BLEECKER STREET,985376,204188,D0,1212750,2017-06-21
 ,MN,2,10003,20 UNIVERSITY PLACE,985636,205992,D4,735000,2018-04-06
 ,MN,2,10003,20 UNIVERSITY PLACE,985636,205992,D4,1700000,2017-12-13
 ,MN,2,10011,18 WEST 14 STREET,985615,207408,D4,780000,2018-05-04
P,MN,2,10003,33 5 AVENUE,985558,206391,D4,3400000,2017-06-29
 ,MN,2,10011,18 WEST 14 STREET,985615,207408,D4,547000,2018-02-14
 ,MN,2,10003,20 UNIVERSITY PLACE,985636,205992,D4,700000,2017-08-16
 ,MN,2,10003,20 UNIVERSITY PLACE,985636,205992,D4,0,2018-04-23
 ,MN,2,10003,20 UNIVERSITY PLACE,985636,205992,D4,1900000,2018-03-29
 ,MN,2,10011,18 WEST 14 STREET,985615,207408,D4,820000,2017-10-31
 ,MN,2,10012,77 BLEECKER STREET,985376,204188,D0,2400000,2017-07-26
 ,MN,2,10003,20 UNIVERSITY PLACE,985636,205992,D4,1550000,2017-06-22
 ,MN,2,10011,18 WEST 14 STREET,985615,207408,D4,1250000,2018-03-14
 ,MN,2,10012,77 BLEECKER STREET,985376,204188,D0,945000,2017-08-01
 ,MN,2,10012,77 BLEECKER STREET,985376,204188,D0,865000,2018-04-10
 ,MN,2,10012,77 BLEECKER STREET,985376,204188,D0,917500,2017-09-07
P,MN,2,10003,33 5 AVENUE,985558,206391,D4,3000000,2017-08-15
 ,MN,2,10003,20 UNIVERSITY PLACE,985636,205992,D4,940000,2018-03-15
 ,MN,2,10003,20 UNIVERSITY PLACE,985636,205992,D4,450000,2017-12-27
 ,MN,2,10003,20 UNIVERSITY PLACE,985636,205992,D4,1100000,2017-10-12
 ,MN,2,10003,20 UNIVERSITY PLACE,985636,205992,D4,16500,2017-11-09
 ,MN,2,10011,18 WEST 14 STREET,985615,207408,D4,520000,2018-02-20
 ,MN,2,10011,18 WEST 14 STREET,985615,207408,D4,590000,2018-05-03
P,MN,2,10003,33 5 AVENUE,985558,206391,D4,2050000,2017-08-31
 ,MN,2,10011,18 WEST 14 STREET,985615,207408,D4,999999,2017-09-08
 ,MN,2,10011,18 WEST 14 STREET,985615,207408,D4,720000,2018-05-16
 ,MN,2,10012,77 BLEECKER STREET,985376,204188,D0,635000,2017-07-10
 ,MN,2,10012,77 BLEECKER STREET,985376,204188,D0,865000,2017-12-05
P,MN,2,10003,33 5 AVENUE,985558,206391,D4,1150000,2017-07-20
 ,MN,2,10012,77 BLEECKER STREET,985376,204188,D0,672500,2018-02-27
 ,MN,2,10012,77 BLEECKER STREET,985376,204188,D0,0,2017-08-15
 ,MN,2,10003,20 UNIVERSITY PLACE,985636,205992,D4,0,2018-01-11
 ,MN,2,10014,237 WEST 11 STREET,983456,207602,C6,1150000,2017-08-30
P,MN,2,10014,433 WEST STREET,981582,207342,D0,4700000,2017-08-30
P,MN,5,10035,11 EAST 129 STREET,1000984,233950,A4,925000,2017-11-21
P,MN,5,10027,213 WEST 131 STREET,999117,235596,B3,2175000,2017-06-21
P,MN,5,10030,154 WEST 133 STREET,999810,235624,C0,0,2017-07-28
 ,MN,5,10027,113 WEST 131 STREET,999925,235148,C0,2400000,2018-04-04
P,MN,5,10039,2528 ADAM C POWELL BLVD,1001202,239034,C7,0,2017-06-21
P,MN,5,10039,2528 ADAM C POWELL BLVD,1001202,239034,C7,0,2017-06-01
P,MN,5,10027,5 ST NICHOLAS TERRACE,997454,235364,C1,0,2017-10-12
P,MN,6,10031,417 WEST 144 STREET,999247,239430,C4,1950000,2018-05-17
P,MN,4,10029,419 EAST 116 STREET,1002426,229240,C3,1533000,2017-07-31
 ,MN,4,10029,337 EAST 115 STREET,1001840,229221,C1,800000,2017-08-25
 ,MN,4,10029,1904 3 AVENUE,999366,227509,C7,0,2018-01-30
P,MN,4,10029,217 EAST 115 STREET,1000991,229691,C3,1275000,2017-07-27
 ,MN,4,10029,337 EAST 115 STREET,1001840,229221,C1,10,2017-08-25
 ,MN,6,10031,454 WEST 141 STREET,998441,238808,C5,0,2017-11-09
P,MN,6,10031,552 WEST 142 STREET,997688,239520,C3,0,2018-04-04
P,MN,6,10031,501 WEST 143 STREET,998383,239616,D4,310000,2018-03-09
P,MN,6,10031,501 WEST 143 STREET,998383,239616,D4,0,2017-10-19
P,MN,6,10031,501 WEST 143 STREET,998383,239616,D4,260000,2017-12-06
